user_id,Lang,Department,Add tags,Lvl
0,Python,Dev,Web,Beginner
1,C++,QA,QA,Advanced
2,JavaScript,Dev,Frontend,Intermediate
3,Python,DataScience,AI+ML,Advanced
4,Java,Dev,Backend,Intermediate
5,C#,GameDev,Unity,Beginner
6,Python,DataScience,DataAnalysis,Intermediate
7,JavaScript,Dev,Node.js,Advanced
8,Java,QA,Automation,Intermediate
9,C++,Dev,Embedded,Advanced
10,Python,Dev,Django,Intermediate
11,Swift,Mobile,iOS,Intermediate
12,Kotlin,Mobile,Android,Intermediate
13,R,DataScience,Statistics,Advanced
14,Go,Dev,Microservices,Intermediate
15,Ruby,Dev,Rails,Intermediate
16,TypeScript,Dev,Frontend,Intermediate
17,PHP,Dev,WordPress,Beginner
18,HTML/CSS,Dev,WebDesign,Beginner
19,MATLAB,DataScience,Engineering,Advanced
20,Perl,Dev,Scripting,Intermediate
21,Scala,DataScience,BigData,Advanced
22,Dart,Mobile,Flutter,Intermediate
23,Rust,Dev,System,Advanced
24,Julia,DataScience,Scientific,Advanced
25,VB.NET,Dev,Desktop,Intermediate
26,Assembly,Dev,LowLevel,Advanced
27,Shell,Dev,DevOps,Intermediate
28,PowerBI,DataScience,Visualization,Intermediate
29,Elixir,Dev,Web,Advanced
30,Clojure,Dev,Functional,Advanced
31,Haskell,Dev,Functional,Advanced
32,Objective-C,Mobile,iOS,Advanced
33,Groovy,QA,Automation,Intermediate
34,Lua,GameDev,Scripting,Intermediate
35,Fortran,DataScience,Scientific,Advanced
36,Cobol,Dev,Legacy,Advanced
37,F#,DataScience,Functional,Advanced
38,Erlang,Dev,Concurrent,Advanced
39,OCaml,Dev,Functional,Advanced
40,Ada,Dev,Embedded,Advanced
41,LabVIEW,DataScience,Engineering,Advanced
42,ABAP,Dev,ERP,Advanced
43,PL/SQL,DataScience,DB,Advanced
44,SAS,DataScience,Statistics,Advanced
45,Smalltalk,Dev,OOP,Advanced
46,Prolog,DataScience,AI,Advanced
47,Crystal,Dev,Web,Intermediate
48,Nim,Dev,System,Intermediate
49,Zig,Dev,System,Intermediate
50,VBA,Dev,Automation,Intermediate
51,COOL,Dev,Education,Beginner
52,Bash,Dev,Scripting,Intermediate
53,Powershell,Dev,Automation,Intermediate
54,Verilog,Dev,Hardware,Advanced
55,Solidity,Dev,Blockchain,Advanced
56,Python,Dev,Web,Intermediate
